score,class
0.3218,0
0.1868,0
0.1634,0
0.2309,0
0.8358,1
0.3054,0
0.2623,1
0.1143,0
0.7587,0
0.1197,0
0.1957,0
0.1465,0
0.0828,0
0.1046,0
0.142,0
0.2122,0
0.1295,0
0.1105,0
0.48,1
0.2367,0
0.1505,0
0.1656,0
0.7628,1
0.0977,0
0.2488,0
0.0938,0
0.1285,0
0.1581,0
0.8906,1
0.1031,0
0.9081,1
0.3745,0
0.0702,0
0.1748,0
0.0964,0
0.1952,0
0.8192,1
0.9826,1
0.0934,0
0.3268,0
0.0887,0
0.1662,0
0.1082,0
0.2713,0
0.2253,0
0.3256,0
0.9116,1
0.1223,0
0.3477,1
0.6581,0
0.0789,0
0.1171,0
0.1433,0
0.2469,0
0.1844,0
0.1569,0
0.2009,0
0.1665,1
0.1682,0
0.0872,0
0.1502,0
0.2478,0
0.2049,0
0.0777,0
0.199,0
0.2447,0
0.3111,0
0.2001,0
0.8313,1
0.2053,0
0.1229,0
0.2976,1
0.1919,0
0.2288,0
0.658,0
0.12,0
0.1388,0
0.0754,0
0.2069,0
0.1638,0
0.2306,0
0.1211,0
0.3707,0
0.2002,1
0.1187,0
0.1277,0
0.0798,0
0.8122,1
0.0828,0
0.1688,1
0.1944,0
0.4,0
0.3104,1
0.1408,0
0.8343,0
0.2426,0
0.6097,1
0.2214,0
0.0635,0
0.1546,0
0.2447,0
0.1327,0
0.1706,0
0.107,0
0.1594,1
0.9554,1
0.2276,0
0.9612,1
0.2425,0
0.9989,1
0.9116,1
0.3994,0
0.1252,0
0.0699,0
0.2102,0
0.2608,0
0.6349,1
0.1454,0
0.2458,0
0.2618,0
0.0891,0
0.4283,0
0.5268,1
0.2667,1
0.1363,0
0.1575,0
0.0828,0
0.2773,0
0.1991,0
0.2259,0
0.0693,0
0.1545,0
0.1905,0
0.1681,0
0.1313,0
0.1358,0
0.1217,0
0.3049,0
0.6077,0
0.2717,0
0.9927,0
0.1251,0
0.0577,0
0.2699,0
0.2164,0
0.1346,0
0.6886,1
0.4844,1
0.159,0
0.3637,1
0.1238,0
0.0512,0
0.1392,0
0.2082,0
0.0646,0
0.2101,0
0.1335,0
0.0672,0
0.986,1
0.2121,0
0.1798,0
0.2719,0
0.8349,0
0.1922,0
0.0967,0
0.0829,0
0.2882,0
0.1507,0
0.1765,0
0.1254,0
0.2336,1
0.4703,1
0.2782,0
0.1441,0
0.9856,1
0.3371,1
0.1418,0
0.5259,1
0.189,0
0.1616,0
0.0667,0
0.0928,0
0.9655,1
0.1504,0
0.1858,0
0.7078,1
0.1838,0
0.294,0
0.1745,0
0.5489,1
0.0671,0
0.052,0
0.1135,0
0.6253,1
0.2163,0
0.1198,0
0.1127,0
0.0858,0
0.2992,0
0.0991,0
0.1566,0
0.0973,0
0.2359,0
0.891,1
0.2982,0
0.1298,1
0.5336,1
0.1876,0
0.1872,0
0.3178,0
0.8371,1
0.0599,0
0.7097,1
0.3385,0
0.3692,0
0.2703,1
0.0723,0
0.0921,0
0.0883,0
0.1668,0
0.3228,0
0.0777,0
0.172,0
0.1329,0
0.0517,0
0.2886,0
0.0658,0
0.0936,0
0.4615,0
0.7557,1
0.0886,0
0.1044,0
0.0969,0
0.0863,0
0.1403,0
0.096,0
0.1515,0
0.088,0
0.2688,0
0.1048,0
0.1872,0
0.3901,1
0.9689,0
0.4487,0
0.413,0
0.9995,1
0.1703,0
0.9275,1
0.1829,0
0.7816,1
0.1546,0
0.0751,0
0.331,0
0.5545,0
0.1647,0
0.681,1
0.1635,1
0.0846,0
0.1348,0
0.8516,0
0.2536,0
0.1859,0
0.298,0
0.2877,0
0.0734,0
0.7662,0
0.1378,0
0.3295,0
0.1543,0
0.2595,0
0.1114,0
0.1225,0
0.1401,0
0.2802,0
0.2235,1
0.2534,0
0.0873,0
0.1026,0
0.661,1
0.4794,0
0.1031,0
0.1603,1
0.5647,1
0.1947,0
0.7951,1
0.1342,1
0.7637,1
0.4296,1
0.3853,0
0.152,0
0.3745,0
0.2299,0
0.9602,1
0.069,0
0.2182,1
0.0991,0
0.2398,0
0.1243,0
0.1084,0
0.1177,0
0.0701,0
0.1335,0
0.4579,0
0.1228,0
0.9919,1
0.1882,0
0.9712,1
0.2004,0
0.2019,0
0.8783,1
0.1817,0
0.3014,1
0.1416,0
0.3678,0
0.9892,1
0.083,0
0.1592,0
0.77,1
0.1459,0
0.0745,0
0.134,0
0.9863,1
0.1217,0
0.7393,0
0.1069,1
0.7774,1
0.0932,0
0.1858,0
0.0926,0
0.0837,0
0.9892,1
0.0974,0
0.088,0
0.2731,0
0.0952,0
0.2582,1
0.0783,0
0.381,0
0.1569,0
0.1273,0
0.1014,0
0.089,0
0.1834,0
0.0616,0
0.9691,1
0.9946,1
0.1655,0
0.0991,0
0.2735,0
0.2024,0
0.1544,0
0.9869,1
0.9975,1
0.447,0
0.991,1
0.1747,0
0.6986,0
0.1111,0
0.9987,1
0.1872,0
0.0907,0
0.1793,0
0.0813,0
0.1238,0
0.2178,0
0.1796,1
0.081,0
0.075,0
0.0823,0
0.2416,0
0.1141,1
0.2997,1
0.8544,1
0.1197,0
0.1332,0
0.0902,0
0.0678,0
0.3002,0
0.1642,0
0.3429,0
0.7552,1
0.1624,0
0.1264,0
0.06,0
0.9532,1
0.1643,1
0.1407,0
0.537,0
0.164,0
0.4666,0
0.2259,0
0.0704,0
0.1018,0
0.1284,0
0.3613,0
0.1192,0
0.1403,0
0.2116,1
0.4215,1
0.3962,0
0.9765,1
0.3059,0
0.5087,0
0.7969,1
0.06,0
0.2026,0
0.1034,0
0.2554,0
0.2411,0
0.1263,0
0.1412,1
0.0718,0
0.0879,0
0.1113,1
0.0608,0
0.1703,0
0.147,0
0.1718,0
0.1578,0
0.0768,0
0.1267,0
0.4803,0
0.7104,1
0.1053,0
0.9996,1
0.379,1
0.1977,0
0.7536,0
0.3863,1
