score,class
0.0439,0
0.2077,1
0.9994,1
0.7924,1
0.0835,0
0.0402,0
0.1351,0
0.0667,0
0.0748,0
1.0,1
0.0224,0
0.884,1
0.0312,0
0.1218,1
0.0591,0
0.6893,1
0.0452,0
0.2842,0
0.0453,0
0.1579,0
0.4254,1
0.0648,0
0.0744,0
0.0294,0
0.9669,1
0.0246,0
0.7512,1
0.0421,0
0.0355,0
0.0409,0
0.0867,0
0.0352,0
0.4453,0
0.0815,0
0.116,0
0.1492,1
0.0496,0
0.0407,0
0.1875,0
0.0307,0
0.0395,0
0.0527,0
0.9351,1
0.0597,0
0.1774,0
0.2333,0
0.9557,1
0.3407,0
0.9798,1
0.034,0
0.0839,0
0.0914,0
0.3439,1
0.1284,0
0.0355,0
0.0655,0
0.9897,1
0.233,0
0.0453,0
0.1097,0
0.0412,0
0.1284,0
0.0193,0
0.0872,0
0.0517,0
0.1282,0
0.1213,0
0.2855,0
0.0223,0
0.9902,1
0.0395,0
0.0852,0
0.0598,0
0.0324,0
0.0399,0
0.0377,0
0.0714,0
0.1177,0
0.4102,0
0.9946,1
0.0392,0
0.1944,0
0.0869,0
0.0612,0
0.3012,0
0.9146,1
0.7257,1
0.0227,0
0.113,0
0.0566,0
0.5495,0
0.1276,0
0.0747,0
0.1858,0
0.9011,1
0.0581,0
0.0351,0
0.1527,1
0.0234,0
0.0572,0
0.0281,0
0.1485,0
0.9999,1
0.0711,0
0.0236,0
0.8607,1
0.9942,1
0.0451,0
0.1583,0
0.0331,0
0.0665,0
0.0604,0
0.2319,0
0.0355,0
0.0572,0
0.0566,0
0.0438,0
0.1038,1
0.7378,1
0.0365,0
0.0279,0
0.0863,0
0.1642,0
0.1587,0
0.0907,0
0.0577,0
0.1009,0
0.2881,0
0.0485,0
0.0757,0
0.309,0
0.0382,0
0.9983,1
0.3984,1
0.039,0
0.901,0
0.0306,0
0.2335,0
0.9999,1
0.0379,0
0.0465,0
0.0386,0
0.1198,0
0.0492,0
0.1131,0
0.0527,0
0.0473,0
0.2128,0
0.0867,0
0.0601,0
0.3383,0
0.0631,0
0.0436,0
0.1294,0
0.0485,0
0.7686,0
0.0237,0
0.9999,1
0.0776,0
0.1673,0
0.0305,0
0.0403,0
0.4069,1
0.1521,0
0.0276,0
0.0823,0
0.0254,0
0.9972,1
0.9963,1
0.0386,0
0.0652,0
0.9351,1
0.123,0
0.9946,1
0.2704,1
0.0445,0
0.2114,0
0.5889,1
0.1443,0
