score,class
0.2294,0
0.5293,1
0.5479,0
0.1471,1
0.4045,0
0.1991,0
0.2067,0
0.1961,0
0.1854,1
0.0958,0
0.26,0
0.1249,1
0.424,0
0.1125,1
0.5643,1
0.1425,1
0.2362,0
0.1247,1
0.2812,0
0.4939,0
0.491,0
0.5331,1
0.2385,0
0.5012,1
0.2193,0
0.3222,1
0.5103,1
0.222,0
0.5552,1
0.1225,1
0.2457,0
0.2323,0
0.5935,1
0.5369,1
0.2609,0
0.5247,1
0.1511,0
0.2171,0
0.4832,1
0.2318,0
0.3302,0
0.2354,0
0.1824,0
0.4498,0
0.2947,0
0.4698,1
0.2529,0
0.189,0
0.1714,1
0.2304,0
0.5151,1
0.1865,0
0.2503,0
0.2573,0
0.5431,1
0.2691,0
0.2315,0
0.2618,0
0.1099,1
0.3132,1
0.5937,0
0.2837,0
0.2513,0
0.5473,1
0.1716,0
0.2103,0
0.5688,0
0.5521,1
0.3189,0
0.1723,0
0.2629,0
0.1739,0
0.1367,0
0.5198,1
0.5613,1
0.4982,1
0.5906,1
0.2311,0
0.2522,0
0.154,0
0.5322,1
0.2528,0
0.5621,0
0.2194,0
0.4919,1
0.5466,1
0.3558,1
0.5431,0
0.2678,0
0.5315,1
0.5812,0
0.5542,1
0.1646,0
0.1303,0
0.171,0
0.1469,0
0.3151,1
0.2351,0
0.1041,1
0.1049,0
0.1504,0
0.1164,0
0.2484,0
0.5347,1
0.2736,0
0.2059,0
0.1882,0
0.2614,0
0.6608,0
0.1589,0
0.2272,0
0.5521,1
0.1587,0
0.2571,0
0.1649,0
0.2372,0
0.546,1
0.1079,1
0.4051,0
0.4781,0
0.5504,1
0.2975,1
0.2197,0
0.1779,0
0.4535,0
0.2524,0
0.5763,1
0.4725,1
0.5458,0
0.1552,1
0.1236,1
0.2469,0
0.1726,0
0.2283,0
0.227,0
0.2748,0
0.5388,1
0.5309,0
0.238,0
0.2622,0
0.1658,0
0.1204,0
0.4338,0
0.1844,0
0.2684,0
0.2252,0
0.4648,0
0.2505,0
0.6272,1
0.4688,1
0.2234,0
0.5344,0
0.5429,1
0.5395,1
0.1873,0
0.2311,0
0.1959,0
0.6017,1
0.1146,0
0.2636,0
0.5558,1
0.2863,1
0.172,0
0.2367,0
0.3442,1
0.525,0
0.2352,0
0.4393,1
0.5412,0
0.2456,0
0.1459,0
0.736,1
0.2305,0
0.596,1
0.7232,1
0.1003,0
0.2454,0
0.2484,0
0.5803,1
0.2752,0
0.2332,0
0.5266,0
0.4955,0
0.2444,0
0.1174,1
0.5719,0
0.5202,1
0.2682,0
0.4557,0
0.4735,0
0.5518,0
0.2067,1
0.4619,1
0.4127,0
0.214,0
0.6676,0
0.1771,0
0.4876,1
0.5901,1
0.0976,1
0.5338,1
0.1804,0
0.2404,0
0.2239,0
0.2324,0
0.1874,0
0.7427,0
0.5016,1
0.1613,1
0.2582,0
0.3592,1
0.2461,1
0.4941,1
0.5614,1
0.1594,0
0.5331,1
0.3273,0
0.5244,0
0.2278,0
0.232,0
0.1242,1
0.2214,1
0.4574,1
0.6069,1
0.2448,0
0.2118,1
0.1915,0
0.2166,0
0.5548,1
0.2163,0
0.1196,0
0.5372,0
0.1176,1
0.1282,0
0.2284,1
0.1731,0
0.2439,0
0.4895,0
0.2532,0
0.1076,0
0.2393,0
0.425,0
0.7276,1
0.2506,0
0.1771,1
0.1006,1
0.1941,0
0.1305,0
0.1635,0
0.1466,0
0.515,1
0.5095,0
0.4293,1
0.5136,1
0.1163,1
0.255,0
0.5503,1
0.2649,0
0.1952,0
0.175,0
0.2136,0
0.2522,0
0.1982,0
0.1902,0
0.2534,0
0.404,0
0.2937,0
0.454,0
0.1855,1
0.1648,1
0.4321,1
0.537,1
0.3791,0
0.2036,0
0.6752,0
0.5888,0
0.229,0
0.2893,0
0.2635,0
0.1856,0
0.1302,0
0.2411,0
0.2546,0
0.5289,0
0.5933,1
0.1591,0
0.2569,0
0.2592,0
0.5119,0
0.512,1
0.715,1
0.5933,0
0.1005,0
0.101,0
0.1885,1
0.2211,0
0.4234,1
0.5977,0
0.1754,0
0.3435,1
