score,class
0.346,0
0.3308,0
0.3658,0
0.3595,0
0.3464,0
0.4159,0
0.3453,0
0.341,1
0.3464,0
0.3409,1
0.3438,0
0.3901,0
0.3456,1
0.3425,1
0.3434,0
0.3709,0
0.3437,1
0.343,0
0.3148,0
0.3425,1
0.3861,0
0.3142,1
0.3439,1
0.3468,0
0.3621,0
0.342,1
0.3504,1
0.4076,1
0.3606,0
0.3497,1
0.3576,0
0.3582,0
0.3421,1
0.3456,0
0.3444,0
0.3431,1
0.4006,0
0.3426,1
0.3471,0
0.3181,0
0.3401,1
0.3477,0
0.3499,0
0.4149,0
0.3545,1
0.3175,0
0.3429,1
0.348,0
0.3707,1
0.3463,0
0.3464,0
0.3437,1
0.3452,1
0.3438,1
0.3417,1
0.3659,1
0.3297,1
0.3457,0
0.3446,1
0.3508,0
0.3591,0
0.3432,0
0.3422,1
0.3141,0
0.3474,0
0.314,1
0.3475,0
0.3437,1
0.3416,1
0.3381,1
0.3411,1
0.3524,0
0.3677,0
0.3446,0
0.3463,0
0.3303,0
0.3503,0
0.3478,0
0.386,0
0.3548,1
0.3146,0
0.3296,1
0.3487,0
0.3532,0
0.3454,0
0.3479,0
0.34,1
0.3425,1
0.3478,0
0.3139,0
0.3488,0
0.3482,0
0.3413,1
0.3568,0
0.3479,0
0.3467,0
0.3475,0
0.3455,0
0.3478,0
0.3489,0
0.3575,1
0.3457,0
0.3294,0
0.3447,0
0.3567,0
0.3553,0
0.3471,0
0.3426,1
0.3433,0
0.3463,0
0.346,0
0.3139,0
0.3646,1
0.3415,1
0.3497,0
0.342,1
0.3414,0
0.3441,1
0.3448,0
0.3518,1
0.3466,0
0.3519,1
0.3473,0
0.3424,1
0.3458,0
0.3429,1
0.3443,1
0.351,0
0.3485,0
0.3928,1
0.3404,1
0.3486,0
0.3454,0
0.3292,0
0.3727,0
0.3464,0
0.3473,0
0.416,0
0.3434,1
0.3439,0
0.3463,0
0.3642,1
0.4019,0
0.3555,1
0.3436,0
0.3575,1
0.3453,0
0.3557,0
0.344,0
0.3403,1
0.3448,0
0.3469,0
0.3461,0
0.3131,0
0.3462,0
0.3567,0
0.3695,1
0.3666,0
0.3435,1
