score,class
0.3782,0
0.4818,0
0.4437,1
0.3522,0
0.4633,1
0.3667,0
0.3609,0
0.4456,1
0.4244,0
0.4203,1
0.4636,1
0.337,0
0.2938,0
0.3059,0
0.473,1
0.3911,0
0.3559,0
0.5033,1
0.4686,1
0.3609,0
0.4241,0
0.3367,0
0.4218,0
0.4715,1
0.4139,1
0.4348,0
0.4255,1
0.3534,0
0.4454,0
0.3767,0
0.4229,0
0.3531,0
0.4741,1
0.47,1
0.3878,0
0.3577,0
0.4265,0
0.4024,0
0.4191,0
0.4185,0
0.3938,1
0.4704,1
0.3407,0
0.3258,0
0.3689,0
0.4413,1
0.3246,0
0.3551,0
0.3504,0
0.3826,0
0.332,0
0.3415,0
0.4756,1
0.3377,0
0.3824,0
0.3039,0
0.4927,1
0.5063,1
0.433,0
0.3741,0
0.3602,0
0.4352,0
0.3806,0
0.4339,0
0.4284,1
0.3869,0
0.3806,0
0.4284,1
0.3694,0
0.4411,1
0.4718,1
0.4244,1
0.4445,1
0.3429,0
0.3562,0
0.3403,0
0.4228,0
0.2551,0
0.4698,0
0.4031,0
0.4184,1
0.4036,0
0.3193,0
0.476,1
0.3593,0
0.4409,0
0.481,0
0.407,0
0.4547,1
0.3253,0
0.4355,0
0.4653,1
0.2995,0
0.4182,0
0.3204,0
0.3657,0
0.4336,1
0.4762,1
0.4142,0
0.314,0
0.464,1
0.3183,0
0.427,0
0.4759,1
0.303,0
0.332,0
0.3855,0
0.4189,0
0.4145,0
0.4296,1
0.3516,0
0.282,0
0.3879,0
0.2866,0
0.3083,0
0.3186,0
0.4509,1
0.376,0
0.358,0
0.4693,1
0.2917,0
0.3309,0
0.3052,0
0.4789,0
0.537,1
0.4316,0
0.3925,0
0.3291,0
0.4705,1
0.3217,0
0.3077,0
0.4566,0
0.4818,1
0.3995,0
0.3472,0
0.4649,1
0.3891,0
0.4171,0
0.4313,1
0.4525,1
0.4801,0
0.321,0
0.3722,0
0.3842,0
0.4655,1
0.4226,1
0.476,1
0.321,0
0.4249,1
0.3741,0
0.334,0
0.3328,0
0.3542,0
0.3647,0
0.3512,0
0.3535,0
0.3942,0
0.4431,1
0.313,0
0.448,0
0.3996,0
0.4101,0
0.4501,1
0.3192,0
0.3396,0
0.4173,0
0.3238,0
0.4319,0
0.4306,0
0.4301,0
0.4248,0
0.4572,1
0.4457,0
0.3279,0
0.4294,0
0.4266,1
0.4629,1
0.4079,0
0.3323,0
0.337,0
0.3502,0
0.5084,1
0.4565,1
0.5054,1
0.3553,0
0.3307,0
0.4289,1
0.3554,0
0.4843,1
0.2974,0
0.3529,0
0.3477,0
0.4843,1
0.4087,1
0.3642,0
0.4427,1
0.4701,1
0.3642,0
0.4139,0
0.3366,0
0.3377,0
0.476,1
0.4477,1
0.4065,0
0.4745,1
0.3165,0
0.3923,0
0.3836,0
0.339,0
0.4405,0
0.3374,0
0.4369,0
0.3638,0
0.3237,0
0.3262,0
0.3341,0
0.3245,0
0.4893,1
0.3627,0
0.4608,1
0.4949,1
0.4553,1
0.4462,1
0.3526,0
0.4741,1
0.3361,0
0.3315,0
0.4279,0
0.3876,0
0.3622,0
0.4493,1
0.4738,1
0.4898,1
0.3257,0
0.4888,0
0.498,1
0.4665,0
0.3401,0
0.3656,0
0.4511,1
0.3314,0
0.364,0
0.436,1
0.4201,0
0.3862,0
0.3654,0
0.3236,0
0.3396,0
0.4697,1
0.3106,0
0.4497,1
0.3535,0
0.3538,0
0.3066,0
0.3427,0
0.4819,1
0.3419,0
0.4247,0
0.4275,0
0.3288,0
0.4447,1
0.4734,1
0.4024,0
0.5252,1
0.3406,0
0.4373,1
0.4934,1
0.3486,0
0.411,0
0.4978,1
0.3668,0
0.446,1
0.3411,0
0.476,1
0.3223,0
0.3511,0
0.4137,0
0.3677,0
0.3922,0
0.4482,1
0.336,0
0.3637,0
0.4238,0
0.4042,0
0.3851,1
0.4641,1
0.4054,0
0.4481,0
0.4504,1
0.4042,0
0.4596,1
0.4606,1
0.4557,1
0.5017,1
0.4381,1
0.4681,1
0.486,1
0.4292,0
0.3468,0
0.3933,0
0.3533,0
0.4182,0
0.2941,0
0.4346,0
0.4748,1
0.4113,0
0.4738,0
0.3972,0
0.3125,0
0.4048,0
0.3951,0
0.3581,0
0.4212,0
0.4709,1
0.4277,1
0.3245,0
0.473,1
0.3421,0
0.4885,1
0.4218,0
0.4046,0
0.4665,1
0.458,1
0.4692,1
0.4392,1
0.5046,1
0.3644,0
0.4632,1
0.4338,1
0.3197,0
0.4157,0
0.4639,1
0.4457,1
0.3148,0
0.3402,0
0.3222,0
0.3813,0
0.4733,1
0.4605,1
0.4365,1
0.4116,0
0.3914,0
0.4587,1
0.4416,1
0.3881,0
0.3439,0
0.3948,0
0.3845,1
0.4943,1
0.429,0
0.4011,1
0.3055,0
0.4691,1
0.4534,1
0.4494,1
0.3747,0
0.423,0
0.4506,1
0.3755,0
0.4601,1
0.3954,0
0.3695,0
0.3599,0
0.4528,1
0.4851,1
0.4469,1
0.4467,0
0.5059,0
0.4591,0
0.3075,0
0.3721,0
0.5052,1
0.4139,0
0.345,0
0.31,0
0.519,1
0.4412,1
0.3188,0
0.3194,0
0.3564,0
0.4158,0
0.4392,1
0.4606,0
0.2926,0
0.4097,0
0.3555,0
0.4197,0
0.4122,0
0.453,0
0.3292,0
0.4671,1
0.4579,1
0.5072,0
0.3857,0
0.4312,0
0.4375,0
0.3615,0
0.4345,1
0.3867,0
0.4907,0
0.3581,0
0.4046,0
0.3458,0
0.321,0
0.3118,0
0.406,0
0.4675,1
0.488,1
0.4423,1
0.3141,0
0.4892,1
0.4809,1
0.3414,0
