score,class
0.8106,0
0.567,0
0.0109,0
0.0457,0
0.7123,1
0.0051,0
0.0066,0
0.773,1
0.8002,0
0.0242,0
0.0081,0
0.0283,0
0.8043,1
0.7319,1
0.4535,0
0.6909,1
0.1738,0
0.0379,0
0.7462,1
0.1211,0
0.6997,0
0.6443,1
0.0051,0
0.0206,0
0.4811,1
0.1362,0
0.7227,1
0.7351,1
0.2051,0
0.6709,0
0.0507,0
0.0083,0
0.7556,1
0.7288,0
0.007,0
0.0563,0
0.0096,0
0.0223,0
0.7413,1
0.0805,0
0.0092,0
0.0373,0
0.0272,0
0.025,0
0.3765,0
0.021,0
0.4465,0
0.1026,0
0.0265,0
0.0069,0
0.0685,0
0.3004,0
0.0168,0
0.0063,0
0.3035,0
0.7572,1
0.0092,0
0.0016,0
0.0145,0
0.0255,0
0.0219,0
0.0036,0
0.0182,0
0.0125,0
0.6881,1
0.0167,0
0.7635,1
0.0028,0
0.0723,0
0.7686,1
0.004,0
0.0106,0
0.8074,1
0.7401,0
0.0298,0
0.0032,0
0.0102,0
0.0185,0
0.0262,0
0.4086,0
0.7727,1
0.7189,1
0.3664,0
0.009,0
0.7944,1
0.0262,0
0.1107,0
0.5058,1
0.0584,0
0.1343,0
0.1671,0
0.0033,0
0.0163,0
0.7838,1
0.7064,1
0.0297,0
0.0923,0
0.0871,0
0.7599,1
0.6454,1
0.0642,0
0.7333,1
0.0884,0
0.1783,0
0.6784,1
0.5598,1
0.4056,0
0.7861,1
0.0161,0
0.0124,0
0.0075,0
0.6211,1
0.0933,0
0.6256,0
0.8373,1
0.7792,1
0.1552,0
0.0224,0
0.436,0
0.7797,1
0.0189,0
0.7435,1
0.0303,0
0.6354,1
0.167,0
0.7582,1
0.6181,1
0.6964,1
0.0129,0
0.0181,0
0.0055,0
0.0081,0
0.7936,1
0.7056,1
0.0075,0
0.1371,0
0.4129,0
0.0052,0
0.0215,0
0.0473,0
0.0474,0
0.7612,1
0.202,0
0.1411,0
0.76,1
0.1194,0
0.7271,1
0.008,0
0.017,0
0.063,0
0.1011,0
0.0081,0
0.0985,0
0.0161,0
0.1061,0
0.0028,0
0.2954,0
0.0194,0
0.7351,1
0.5811,1
0.1692,0
0.0043,0
0.0293,0
0.1798,0
0.0152,0
0.0268,0
0.1697,0
0.7882,1
0.0144,0
0.6441,0
0.6304,1
0.0134,0
0.0213,0
0.844,1
0.2267,0
0.8432,1
0.3357,0
0.6473,1
0.8128,1
0.0062,0
0.6649,1
0.0123,0
0.7135,1
0.0784,0
0.3103,0
0.0048,0
0.0391,0
0.0395,0
0.1384,0
0.2217,1
0.0051,0
0.0232,0
0.1838,0
0.7573,1
0.0245,0
0.1955,0
0.0052,0
0.0184,0
0.32,1
0.7926,0
0.6219,1
0.8125,1
0.6576,1
0.8164,1
0.7367,1
0.488,0
0.834,1
0.3752,0
0.6191,1
0.0209,0
0.5965,1
0.5931,0
0.0748,0
0.0902,0
0.2289,0
0.067,0
0.7817,0
0.6221,1
0.0338,0
0.0849,0
0.1046,0
0.6145,1
0.7074,1
0.0115,0
0.0149,0
0.8212,1
0.0127,0
0.0316,0
0.0067,0
0.765,1
0.7912,1
0.0809,0
0.4457,0
0.0051,0
0.0431,0
0.0349,0
0.0416,0
0.0246,0
0.6329,1
0.004,0
0.0174,0
0.4299,1
0.1027,0
0.7412,1
0.0139,0
0.733,1
0.735,1
0.2005,0
0.0285,0
0.0018,0
0.0608,0
0.0802,0
0.7375,1
0.1029,0
0.7189,1
0.7731,1
0.057,0
0.1018,0
0.0088,0
0.6587,1
0.0474,0
0.0223,0
0.7841,1
0.6308,1
0.0581,0
0.6018,1
0.0064,0
0.0125,0
0.0285,0
0.6303,1
0.0042,0
0.0196,0
0.0081,0
0.0412,0
0.7386,1
0.0139,0
0.0234,0
0.721,1
0.6791,1
0.0047,0
0.0482,0
0.0104,0
0.0297,0
0.5882,1
0.0056,0
0.7569,1
0.012,0
0.6884,1
0.0183,0
0.5946,1
0.0162,0
0.5034,1
0.84,1
0.05,0
0.7577,1
0.6121,1
0.7008,1
0.7533,1
0.6219,1
0.593,0
0.6723,1
0.0209,0
0.0031,0
0.1439,0
0.035,0
0.6364,1
0.2009,0
0.0228,0
0.0717,0
0.0386,0
0.7414,1
0.4458,0
0.0211,0
0.81,0
0.0031,0
0.2595,0
0.7271,1
0.8199,1
0.0377,0
0.7833,0
0.763,1
0.6336,1
0.0203,0
0.5609,0
0.7542,1
0.0044,0
0.7718,1
0.4049,0
0.7549,1
0.004,0
0.0183,0
0.0018,0
0.7436,1
0.6814,0
0.0088,0
0.2561,0
0.1155,0
0.0245,0
0.0459,0
0.04,0
0.369,0
0.1291,0
0.0404,0
0.0045,0
0.6904,1
0.0154,0
0.0281,0
0.7799,1
0.6952,1
0.6948,0
0.7498,1
0.6115,1
0.8351,1
0.7841,1
0.7683,1
0.7322,0
0.7433,1
0.783,1
0.0127,0
0.0441,0
0.4348,0
0.1211,0
0.3282,0
0.0197,0
0.0123,0
0.0214,0
0.8217,1
0.0709,0
0.0378,0
0.0083,0
0.6283,1
0.6536,1
0.0063,0
0.1099,0
0.5392,0
0.02,0
0.0746,0
0.0398,0
0.6412,0
0.0133,0
0.0033,0
0.7676,0
0.6726,1
0.7514,1
0.4628,0
0.7734,1
0.2271,0
0.575,1
0.6363,1
0.8005,0
0.7614,1
0.7356,1
0.7243,1
0.0099,0
0.0793,0
0.5521,0
0.0271,0
0.0208,0
0.8276,0
0.3602,0
0.7636,1
0.7353,1
0.5341,0
0.0197,0
0.7199,1
0.6263,1
0.5301,1
0.2731,1
0.0373,0
0.6723,1
0.4322,0
0.733,1
0.0108,0
0.0335,0
0.4474,0
0.0822,0
0.1057,0
0.1032,0
0.829,1
0.0185,0
0.5574,0
0.0082,0
0.0091,0
0.0239,0
0.0228,0
0.0041,0
0.0067,0
0.0085,0
0.0096,0
0.7195,1
0.0238,0
0.6255,1
0.783,1
0.0112,0
0.2865,1
0.0218,0
0.7094,1
0.0236,0
0.6155,1
0.0068,0
0.6659,1
0.6188,1
0.0224,0
0.0476,0
0.0237,0
0.6432,1
0.6557,0
0.0205,0
0.0551,0
0.752,1
0.0377,0
0.5217,0
0.0311,0
0.4672,0
0.0135,0
0.0089,0
0.0139,0
0.7025,1
0.0049,0
0.0193,0
0.0346,0
0.0862,0
0.0113,0
0.0235,0
0.0634,0
0.0189,0
0.0032,0
0.0165,0
0.7761,1
0.0868,0
0.7207,1
0.038,0
0.2851,0
0.8128,1
0.7254,1
0.6442,1
0.7616,1
0.0039,0
0.7034,0
0.0148,0
0.7335,1
0.0528,0
0.0041,0
0.2834,0
0.7982,1
0.0553,0
0.7633,1
0.3818,0
0.2554,0
0.0128,0
0.0479,0
0.5792,1
0.0097,0
0.7249,1
0.0171,0
0.0031,0
0.6864,1
0.0014,0
0.0102,0
0.8385,1
0.7036,1
0.8129,0
0.0614,0
0.0144,0
0.0803,0
0.7184,1
0.4741,0
0.0676,0
0.0505,0
0.7866,1
0.0876,0
0.7683,1
0.0372,0
0.0151,0
0.5336,1
0.613,1
0.6036,1
0.7352,1
0.8168,1
0.2028,0
0.8381,1
0.0094,0
0.7682,1
0.0446,0
0.5609,1
0.0243,0
0.725,1
0.3241,0
0.7381,1
0.7272,1
0.0205,0
0.1126,0
0.0147,0
0.1592,0
0.8387,1
0.4674,0
0.0064,0
0.846,1
0.0668,0
0.0755,0
0.752,1
0.0318,0
0.0099,0
0.0029,0
0.7709,1
0.0046,0
0.0293,0
0.0137,0
0.5254,1
0.8328,1
0.0289,0
0.7459,1
0.7227,1
0.0065,0
0.0637,0
0.1239,0
0.0078,0
0.6245,1
0.6484,1
0.016,0
0.2023,0
0.1697,0
0.3133,0
0.0055,0
0.7106,1
0.0159,0
0.0105,0
0.0648,0
0.6901,1
0.3954,0
0.6715,1
0.7445,1
0.0211,0
0.0236,0
0.0186,0
0.6867,1
0.0865,0
0.0417,0
0.0015,0
0.0231,0
0.3043,0
0.3357,0
0.827,1
0.0879,0
0.0142,0
0.0128,0
0.097,0
0.0153,0
0.0396,0
0.6508,0
0.0032,0
0.8095,0
0.7731,1
0.8148,1
0.6959,1
0.1322,0
0.0541,0
0.0033,0
0.0316,0
0.5919,0
0.7126,1
0.6147,1
0.7107,1
0.0045,0
0.5434,1
0.0534,0
0.7369,0
0.8248,1
0.616,1
0.7537,1
0.6797,1
0.7473,1
0.0126,0
0.0335,0
0.1159,0
0.799,1
0.8304,1
0.3891,0
0.044,0
0.0146,0
0.0172,0
0.7677,0
0.0637,0
0.7298,1
0.7458,1
0.0022,0
0.6947,0
0.0772,0
0.801,1
0.6986,1
0.0815,0
0.0119,0
0.8142,1
0.0398,0
0.4932,0
0.0548,0
0.011,0
0.0853,0
0.6958,1
0.7943,1
0.6185,1
0.0087,0
0.1807,0
0.7448,1
0.5754,1
0.6346,1
0.042,0
0.2442,0
0.6385,1
0.0462,0
0.8018,1
0.7273,1
0.7458,1
0.0057,0
0.0385,0
0.4727,0
0.6335,1
0.0028,0
0.239,0
0.5745,1
0.7989,1
0.727,1
0.7865,1
0.0316,0
0.7599,1
0.083,0
0.7598,1
0.823,1
0.4452,1
0.0084,0
0.2421,0
0.6599,1
0.5653,0
0.0831,0
0.215,0
0.0102,0
0.074,0
0.0343,0
0.7623,1
0.0364,0
0.788,1
0.0057,0
0.736,1
0.0423,0
0.2924,0
0.6518,1
0.2793,0
0.0114,0
0.7039,0
0.2768,0
0.602,1
0.7409,1
0.6746,1
0.6124,0
0.3327,0
0.6221,1
0.5554,0
0.406,0
0.0124,0
0.8053,0
0.19,0
0.2253,0
0.0187,0
0.0684,0
0.1541,0
0.2748,0
0.0875,0
0.0575,0
0.6807,1
0.7597,1
0.1474,0
0.7488,0
0.0383,0
0.0306,0
0.0362,0
0.0053,0
0.8097,1
0.0655,0
0.7685,1
0.0311,0
0.3623,0
0.0019,0
0.1134,0
0.0257,0
0.0315,0
0.7226,1
0.0053,0
0.133,0
0.62,1
0.0143,0
0.017,0
0.027,0
0.6997,1
0.0091,0
0.008,0
0.0051,0
0.0439,0
0.8183,0
0.4765,0
0.7232,1
0.7373,1
0.0284,0
0.0322,0
0.7013,1
0.0872,0
0.7532,1
0.0012,0
0.0164,0
0.004,0
0.7885,1
0.0123,0
0.8021,0
0.0182,0
0.028,0
0.055,0
0.0205,0
0.0027,0
0.0228,0
0.022,0
0.4925,0
0.0191,0
0.7885,1
0.0277,0
0.445,0
0.6952,0
0.0192,0
0.0152,0
0.005,0
0.7933,0
0.7508,1
0.088,0
0.0548,0
0.7046,1
0.4432,0
0.7675,1
0.2393,0
