score,class
0.3625,0
0.9284,1
0.1389,0
0.8694,1
0.0867,0
0.9275,1
0.9137,1
0.9384,1
0.8888,1
0.8789,1
0.288,0
0.3234,0
0.934,1
0.8817,1
0.9053,1
0.2679,0
0.8839,1
0.3957,0
0.8666,1
0.962,1
0.8698,1
0.9558,1
0.8816,1
0.8568,1
0.9064,1
0.8971,1
0.916,1
0.9054,1
0.9421,1
0.3776,0
0.9216,1
0.874,1
0.9441,1
0.912,1
0.9182,1
0.316,0
0.8946,1
0.9303,1
0.8796,1
0.9331,1
0.9475,1
0.9003,1
0.9466,1
0.908,1
0.8734,1
0.87,1
0.9126,1
0.8731,1
0.8914,1
0.3456,0
0.9378,1
0.9258,1
0.9611,1
0.9386,1
0.9035,1
0.9247,1
0.8871,1
0.9073,1
0.8946,1
0.9171,1
0.1378,0
0.3409,0
0.8826,1
0.8814,1
0.9424,1
0.9015,1
0.9555,1
0.9461,1
0.9121,1
0.941,1
0.3383,0
0.8883,1
0.8881,1
0.3481,0
0.8866,1
0.9075,1
0.9356,1
0.915,1
0.8745,1
0.3254,0
0.9237,1
0.8884,1
0.9287,1
0.907,1
0.939,1
0.9129,1
0.9252,1
0.8034,1
0.8442,1
0.8587,1
0.9587,1
0.881,1
0.9281,1
0.9426,1
0.9277,1
0.2407,0
0.8308,1
0.8867,1
0.2584,0
0.3647,0
0.2885,0
0.9216,1
0.8505,1
0.9038,1
0.9335,1
0.8738,1
0.9266,1
0.8933,1
0.8998,1
0.9092,1
0.9002,1
0.9474,1
0.8734,1
0.8895,1
0.9433,1
0.8976,1
0.904,1
0.8919,1
0.2457,0
0.9546,1
0.9256,1
0.945,1
0.9213,1
0.36,0
0.8901,1
0.9296,1
0.949,1
0.9199,1
0.9121,1
0.1408,0
0.9417,1
0.9493,1
0.9047,1
0.8882,1
0.9038,1
0.9302,1
0.9468,1
0.1181,0
0.9483,1
0.9382,1
0.9303,1
0.9121,1
0.9225,1
0.944,1
0.914,1
0.9367,1
0.9271,1
0.8692,1
0.8806,1
0.9216,1
0.9533,1
0.9426,1
0.9338,1
0.9342,1
0.8895,1
0.9268,1
0.9402,1
0.9406,1
0.3357,0
0.3041,0
0.9401,1
0.956,1
0.9415,1
0.9262,1
0.8904,1
0.9392,1
0.9274,1
0.9353,1
0.3216,0
0.9111,1
0.2425,0
0.9361,1
0.9368,1
0.9255,1
0.8757,1
0.959,1
0.9171,1
0.9419,1
0.3254,0
0.9175,1
0.9147,1
0.923,1
0.9379,1
0.8376,1
0.927,1
0.8864,1
0.8978,1
0.9041,1
0.8998,1
0.359,0
0.9118,1
0.9073,1
0.9088,1
0.2939,0
0.9077,1
0.2642,0
0.9014,1
0.9272,1
0.8954,1
0.8832,1
0.8895,1
0.9394,1
0.3247,0
0.8597,1
0.9353,1
0.9215,1
0.9099,1
0.3594,0
0.2783,0
0.9323,1
0.9273,1
0.9378,1
0.9339,1
0.8908,1
0.9372,1
0.9567,1
0.1004,0
0.9105,1
0.9078,1
0.9513,1
0.9024,1
0.9184,1
0.9236,1
0.1267,0
0.8871,1
0.9325,1
0.8809,1
0.2318,0
0.9251,1
0.9495,1
0.8567,1
0.9133,1
0.3336,0
0.9566,1
0.8922,1
0.3567,0
0.9451,1
0.1072,0
0.9097,1
0.9269,1
0.95,1
0.9609,1
0.935,1
0.9343,1
0.8819,1
0.9,1
0.9439,1
0.9415,1
0.9487,1
0.9387,1
0.9679,1
0.9292,1
0.2774,0
0.9081,1
0.9217,1
0.8741,1
0.9501,1
0.8932,1
0.1687,0
0.9199,1
0.8888,1
0.924,1
0.8962,1
0.8925,1
0.8906,1
0.8792,1
0.9417,1
0.8824,1
0.9398,1
0.8716,1
0.8978,1
0.9305,1
0.9282,1
0.9042,1
0.8822,1
0.9191,1
0.902,1
0.8692,1
0.9115,1
0.9165,1
0.9202,1
0.935,1
0.9419,1
0.8824,1
0.8847,1
0.8962,1
0.9634,1
0.8925,1
0.1315,0
0.9218,1
0.8816,1
0.9175,1
0.3011,0
0.9006,1
0.8779,1
0.9575,1
0.8998,1
0.9019,1
0.9217,1
0.9297,1
0.9243,1
0.9486,1
0.9651,1
0.8857,1
0.9594,1
0.9364,1
0.9282,1
0.9365,1
0.2944,0
0.9254,1
0.9276,1
0.927,1
0.9395,1
0.9345,1
0.9079,1
0.9414,1
0.9443,1
0.1504,0
0.3126,0
0.9426,1
0.8987,1
0.9333,1
0.9444,1
0.9234,1
0.3851,0
0.9215,1
0.2329,0
0.9226,1
0.8858,1
0.3032,0
0.8807,1
0.9126,1
0.3435,0
0.8873,1
0.8821,1
0.9103,1
0.9311,1
0.8984,1
0.229,0
0.8991,1
0.9082,1
0.9405,1
0.1399,0
0.1126,0
0.9482,1
0.9145,1
0.2222,0
0.9599,1
0.9498,1
0.3283,0
0.9335,1
0.9227,1
0.8922,1
0.9133,1
0.9561,1
0.8905,1
0.3815,0
0.9528,1
0.8596,1
0.1876,0
0.9264,1
0.8766,1
0.9248,1
0.9319,1
0.1767,0
0.9066,1
0.9182,1
0.8847,1
0.1942,0
0.2136,0
0.8615,1
0.231,0
0.2004,0
0.9412,1
0.9072,1
0.916,1
0.9385,1
0.8979,1
0.8808,1
0.9388,1
0.9291,1
0.9363,1
0.952,1
0.8652,1
0.9332,1
0.9421,1
