score,class
0.8324,1
0.8622,1
0.8337,1
0.8861,1
0.7841,1
0.9034,1
0.8817,1
0.9062,1
0.8256,1
0.897,1
0.8427,1
0.7381,1
0.7844,1
0.8792,1
0.8483,1
0.8012,1
0.8798,1
0.7867,1
0.8896,0
0.8019,1
0.7397,1
0.8614,1
0.8978,1
0.8328,1
0.896,1
0.9376,1
0.8821,1
0.8605,1
0.7875,1
0.7394,1
0.8898,0
0.7656,0
0.8813,1
0.8343,1
0.736,1
0.8467,1
0.8879,1
0.891,0
0.7391,1
0.7863,1
0.861,1
0.8798,1
0.7636,0
0.8224,1
0.8028,1
0.7856,1
0.8635,1
0.7383,1
0.9388,1
0.8813,1
0.7876,1
0.927,1
0.8381,1
0.8921,0
0.8009,1
0.8862,1
0.8225,1
0.8805,1
0.7378,1
0.8794,1
0.8955,1
0.8894,0
0.8798,1
0.881,1
0.7865,1
0.7856,1
0.8916,0
0.9035,1
0.8941,1
0.8174,0
0.8121,0
0.9015,1
0.8349,1
0.7656,0
0.8604,1
0.9385,1
0.7667,0
0.7858,1
0.9381,1
0.8948,1
0.7625,0
0.8607,1
0.8944,1
0.8614,1
0.8613,1
0.7656,0
0.8845,1
0.8636,1
0.8895,0
0.8054,1
0.8808,1
0.8356,1
0.8825,1
0.8821,1
0.8173,1
0.8532,1
0.8823,1
0.94,1
0.8785,1
0.9037,1
0.8611,1
0.8907,0
0.8497,1
0.8041,1
0.8329,1
0.79,0
0.8843,1
0.8645,1
0.8213,1
0.8797,1
0.8645,1
0.8806,1
0.8204,1
0.7703,0
0.7372,1
0.8491,1
0.8897,1
0.7646,0
0.8013,1
0.7914,0
0.8633,1
0.8802,1
0.8929,1
0.8225,1
0.8641,1
0.7881,0
0.8641,1
0.8961,1
0.7373,1
0.897,1
0.8494,1
0.892,0
0.8517,1
0.7612,0
0.8601,1
0.7902,0
0.8355,1
0.8406,1
0.8643,1
0.8481,1
0.8498,1
0.7755,0
0.904,1
0.8221,1
0.8193,1
0.8501,1
0.8637,1
0.7914,0
0.7635,0
0.8818,1
0.8998,1
0.8643,1
0.7766,0
0.9037,1
0.8159,0
0.896,1
0.8589,1
0.7771,0
0.8486,1
0.7643,0
0.8818,1
0.851,1
0.8493,1
0.7393,1
0.8887,1
0.8818,1
0.8263,1
0.8004,1
0.8875,1
0.8483,1
0.8513,1
0.8233,1
0.7369,1
0.8637,1
0.7861,1
0.8803,1
0.7826,1
0.9387,1
0.8987,1
0.8205,1
0.8966,1
0.9383,1
0.8496,1
0.8574,1
0.7614,0
0.784,1
0.8612,1
0.927,1
0.8591,1
0.9328,1
0.7862,1
0.9058,1
0.8505,1
0.8419,1
0.8496,1
0.8966,1
0.7928,0
0.8638,1
0.7909,0
0.843,1
0.8806,1
0.9383,1
0.8557,1
0.7916,0
0.7839,1
0.8636,1
0.8537,1
0.8818,1
0.7429,1
0.894,1
0.8003,1
0.8352,1
0.8837,1
0.8926,0
0.9043,1
0.835,1
0.8223,1
0.8189,0
0.9035,1
0.7459,1
0.7365,1
0.863,1
0.8623,0
0.8906,1
0.8842,1
0.8301,1
0.8866,1
0.8513,1
0.7384,1
0.903,1
0.764,0
0.8562,1
0.8347,1
0.8618,1
0.8234,1
0.7569,0
0.7634,0
0.7385,1
0.9046,1
0.8812,1
0.9053,1
0.8508,1
0.8221,1
0.8485,1
0.7814,0
0.8982,1
0.891,0
0.8144,0
0.8829,1
0.786,1
0.8929,0
0.8609,1
0.8637,1
0.8816,1
0.8822,1
0.8647,1
0.9059,1
0.7927,0
0.8637,1
0.7394,1
0.804,1
0.9381,1
0.8637,1
0.7835,1
0.886,1
0.7401,1
0.906,1
0.9275,1
0.8303,1
0.8969,1
0.8566,1
0.7381,1
0.9272,1
0.8229,1
0.8828,1
0.8635,1
0.8016,1
0.878,1
0.8844,1
0.7839,1
0.8344,1
0.9387,1
0.8345,1
0.9037,1
0.7879,0
0.903,1
0.8188,1
0.7391,1
0.7386,1
0.7868,1
0.8939,0
0.898,1
0.8166,0
0.7632,0
0.7684,0
0.8951,1
0.7648,0
0.8897,0
0.8015,1
0.8548,1
0.8225,1
0.7631,0
0.8981,1
0.8128,0
0.8147,0
0.8495,1
0.8079,0
0.8643,1
0.7402,1
0.8049,1
0.8297,1
0.798,1
0.863,0
0.7677,0
0.8906,1
0.8965,1
0.8838,1
0.7639,0
0.7693,0
0.8803,1
0.8144,0
0.8344,1
0.7878,1
0.8356,1
0.8977,1
0.7857,1
0.8009,1
0.8934,0
0.7858,1
0.7377,1
0.8837,1
