score,class
0.679,1
0.7675,1
0.7451,1
0.6412,1
0.6818,1
0.5139,0
0.734,1
0.6633,1
0.7072,1
0.6877,1
0.6513,1
0.4091,0
0.6968,1
0.6962,1
0.6056,1
0.7127,1
0.7186,1
0.7359,1
0.4094,0
0.5227,0
0.7608,1
0.4283,0
0.6537,1
0.7104,1
0.4765,0
0.6935,1
0.6487,1
0.6323,1
0.6822,1
0.7134,1
0.4016,0
0.7064,1
0.3987,0
0.6948,1
0.6867,1
0.3786,0
0.6279,1
0.6641,1
0.7289,1
0.4207,0
0.6486,1
0.7295,1
0.4647,0
0.3719,0
0.7152,1
0.6839,1
0.735,1
0.657,1
0.7093,1
0.401,0
0.7081,1
0.7206,1
0.7503,1
0.7255,1
0.431,0
0.3988,0
0.6981,1
0.6906,1
0.6899,1
0.6531,1
0.4015,0
0.7132,1
0.6407,1
0.6992,1
0.7094,1
0.6212,1
0.66,1
0.6364,1
0.6857,1
0.695,1
0.4288,0
0.6836,1
0.6679,1
0.391,0
0.4212,0
0.7075,1
0.7163,1
0.7034,1
0.7357,1
0.7092,1
0.6501,1
0.6901,1
0.4248,0
0.6866,1
0.7098,1
0.681,1
0.3695,0
0.3702,0
0.7077,1
0.7525,1
0.6625,1
0.7213,1
0.705,1
0.6989,1
0.7152,1
0.701,1
0.6967,1
0.6827,1
0.6913,1
0.7409,1
0.7234,1
0.7286,1
0.7235,1
0.7345,1
0.3806,0
0.7009,1
0.6463,1
0.7029,1
0.6555,1
0.7076,1
0.6556,1
0.7012,1
0.7174,1
0.7204,1
0.6406,1
0.718,1
0.4958,0
0.6389,1
0.7188,1
0.6955,1
0.6797,1
0.7054,1
0.6395,1
0.7054,1
0.678,1
0.6711,1
0.7108,1
0.6842,1
0.3943,0
0.6289,1
0.712,1
0.698,1
0.6773,1
0.6678,1
0.7017,1
0.4994,0
0.6966,1
0.6403,1
0.6215,1
0.7482,1
0.7514,1
0.3926,0
0.3764,0
0.6779,1
0.7336,1
0.6754,1
0.6585,1
0.7232,1
0.5223,0
0.7021,1
0.7337,1
0.3932,0
0.7284,1
0.7009,1
0.6879,1
0.6954,1
0.5066,0
0.6511,1
0.7416,1
0.7406,1
0.6754,1
0.732,1
0.6866,1
0.6936,1
0.7194,1
0.6558,1
0.7094,1
0.7503,1
0.6683,1
0.6996,1
0.3984,0
0.5283,0
0.6051,1
0.6656,1
0.7139,1
0.7001,1
0.6373,1
0.4651,0
0.6957,1
0.6381,1
0.6462,1
0.7135,1
0.6364,1
0.4157,0
0.6616,1
0.3643,0
0.3804,0
0.6744,1
0.6976,1
0.7146,1
0.729,1
0.7219,1
0.6893,1
0.7397,1
0.4005,0
0.6583,1
0.4808,0
0.6937,1
0.6409,1
0.6456,1
0.4173,0
0.7136,1
0.6813,1
0.6078,1
0.7748,1
0.7311,1
0.739,1
0.6872,1
0.6793,1
0.7015,1
0.7011,1
0.7475,1
0.6979,1
0.6071,1
0.7183,1
0.6489,1
0.6963,1
0.6568,1
0.6762,1
0.6254,1
0.6461,1
0.6359,1
0.7017,1
0.7516,1
0.707,1
0.6829,1
0.6732,1
0.6434,1
0.7297,1
0.4357,0
0.4774,0
0.6228,1
0.3848,0
0.4562,0
0.6907,1
0.7394,1
0.678,1
0.7072,1
0.7305,1
0.7064,1
0.7045,1
0.7168,1
0.6004,1
0.702,1
0.7089,1
0.6854,1
0.6118,1
0.7473,1
0.697,1
0.6975,1
0.696,1
0.7232,1
0.6237,1
0.745,1
0.7235,1
0.6556,1
0.6692,1
0.3884,0
0.705,1
0.6605,1
0.4361,0
0.6806,1
0.6663,1
0.7094,1
0.7313,1
0.7284,1
0.7223,1
0.6828,1
0.7295,1
0.6623,1
0.6882,1
0.7119,1
0.3933,0
0.7208,1
0.5098,0
0.7053,1
0.7094,1
0.419,0
0.694,1
0.7758,1
0.7506,1
0.6852,1
0.6629,1
0.6719,1
0.6458,1
0.7164,1
0.7076,1
0.7209,1
0.732,1
0.718,1
0.6913,1
0.7227,1
0.406,0
0.7156,1
0.7203,1
0.3975,0
0.6536,1
0.6126,1
0.7671,1
0.4161,0
0.7162,1
0.6475,1
0.7011,1
0.5007,0
0.7688,1
0.7056,1
0.7387,1
0.4078,0
0.6927,1
0.7158,1
0.6731,1
0.7102,1
0.6956,1
0.6527,1
0.6782,1
0.6154,1
0.7026,1
0.638,1
0.4532,0
0.7425,1
0.645,1
0.6881,1
0.7266,1
0.7046,1
0.6639,1
0.6812,1
0.6755,1
0.7001,1
0.7232,1
0.6739,1
0.6659,1
0.649,1
0.6815,1
0.7415,1
0.713,1
0.6784,1
0.6669,1
0.6326,1
0.7175,1
0.7455,1
0.6365,1
0.4084,0
0.7539,1
0.6384,1
0.6962,1
0.7403,1
0.7202,1
0.6004,1
0.6472,1
0.4331,0
0.6509,1
0.7141,1
0.418,0
0.7058,1
0.4188,0
0.6427,1
0.6113,1
0.7686,1
0.7345,1
0.3877,0
0.7103,1
0.678,1
0.6806,1
0.6885,1
0.68,1
0.6877,1
0.6033,1
0.7031,1
0.7005,1
0.4224,0
0.6466,1
0.3659,0
0.693,1
0.414,0
0.5922,1
0.7558,1
0.7236,1
0.6723,1
0.708,1
0.6603,1
0.454,0
0.7063,1
0.6317,1
0.6944,1
0.742,1
0.4116,0
0.6533,1
0.7328,1
0.684,1
0.7381,1
0.7077,1
0.7193,1
0.6879,1
0.7032,1
0.3959,0
0.7079,1
0.7679,1
0.6953,1
0.7205,1
0.7146,1
0.7149,1
0.7019,1
0.6989,1
0.4126,0
0.6896,1
0.6612,1
0.669,1
0.7029,1
0.7226,1
0.7255,1
0.7143,1
0.4353,0
0.711,1
0.7049,1
0.4117,0
0.4954,0
0.5144,0
0.4061,0
0.722,1
0.714,1
0.6641,1
0.7009,1
0.4252,0
0.3855,0
0.5146,0
0.4042,0
0.7365,1
0.3876,0
0.4239,0
0.5984,1
0.6863,1
0.6898,1
0.6556,1
0.4288,0
0.7097,1
0.7025,1
0.7551,1
0.5066,0
0.7108,1
0.7071,1
0.7183,1
0.6457,1
0.7446,1
0.7339,1
0.7094,1
0.3717,0
0.694,1
0.7069,1
0.6243,1
0.3778,0
0.6915,1
0.6854,1
0.7256,1
0.6316,1
0.7076,1
0.4696,0
0.6611,1
0.4457,0
0.7424,1
0.6258,1
0.7269,1
0.3982,0
0.6173,1
0.6819,1
0.6949,1
0.7078,1
0.6774,1
0.4592,0
0.6996,1
0.6898,1
0.7288,1
0.7412,1
0.7117,1
0.6073,1
0.6954,1
0.7219,1
0.6938,1
0.6901,1
0.7188,1
0.7,1
0.7386,1
0.6797,1
0.732,1
0.6623,1
0.6651,1
0.6887,1
0.6731,1
0.6488,1
0.7005,1
0.5333,0
0.7221,1
0.6625,1
0.7227,1
0.4971,0
0.7119,1
0.6979,1
0.6601,1
0.7135,1
0.7078,1
0.7149,1
0.6419,1
0.7323,1
0.6526,1
0.6672,1
0.6942,1
0.4103,0
0.6493,1
0.6744,1
0.7051,1
0.3941,0
0.4494,0
0.701,1
0.737,1
0.6622,1
0.695,1
0.7393,1
0.4837,0
0.5959,1
0.7346,1
0.6384,1
0.7287,1
0.7158,1
0.6739,1
0.6429,1
0.3907,0
0.4788,0
0.722,1
0.7038,1
0.6888,1
0.6527,1
0.4239,0
0.6522,1
0.6983,1
0.7099,1
0.6965,1
0.6645,1
0.5099,0
0.4547,0
0.7688,1
0.7345,1
0.4003,0
0.6665,1
0.7129,1
0.6753,1
0.649,1
0.7044,1
0.6807,1
0.6706,1
0.3855,0
0.39,0
0.6774,1
0.486,0
0.6424,1
0.6608,1
0.6862,1
0.6916,1
0.6697,1
0.683,1
0.7212,1
0.6878,1
0.7269,1
0.372,0
0.7022,1
0.6833,1
0.6108,1
0.6367,1
0.6552,1
0.6259,1
0.6945,1
0.761,1
0.738,1
0.6753,1
0.5313,0
0.6993,1
0.454,0
0.6777,1
0.718,1
0.6337,1
0.7045,1
0.7028,1
0.6659,1
0.6038,1
0.4368,0
0.6804,1
0.7122,1
0.4149,0
0.6764,1
0.7338,1
0.707,1
0.4865,0
0.7569,1
0.764,1
0.4894,0
0.7302,1
0.4098,0
0.7507,1
0.6136,1
0.6751,1
0.3648,0
0.699,1
0.4466,0
0.7576,1
0.7548,1
0.6915,1
0.6813,1
0.4035,0
0.7434,1
0.7221,1
0.6385,1
0.7068,1
0.7198,1
0.7292,1
0.7228,1
0.7665,1
0.6255,1
0.7134,1
0.6764,1
0.6541,1
0.728,1
0.4332,0
0.6935,1
0.7246,1
0.7079,1
0.6647,1
0.7215,1
0.6937,1
0.7286,1
0.6982,1
0.6603,1
0.4274,0
0.7281,1
0.6787,1
0.6711,1
0.4858,0
0.731,1
0.6113,1
0.715,1
0.4217,0
0.6521,1
0.6711,1
0.7462,1
0.515,0
0.7107,1
0.5052,0
0.6994,1
0.6722,1
0.6994,1
0.6978,1
0.698,1
0.6977,1
0.6998,1
0.7357,1
0.651,1
0.7399,1
0.7242,1
0.6963,1
0.6563,1
0.4026,0
0.3889,0
0.7538,1
0.7103,1
0.6505,1
0.7285,1
0.7209,1
0.7413,1
0.7449,1
0.3644,0
0.7441,1
0.6846,1
0.688,1
0.7577,1
0.4049,0
0.6505,1
0.6948,1
0.7217,1
0.7453,1
0.5279,0
0.7057,1
0.6809,1
0.3623,0
0.6945,1
0.7394,1
0.6652,1
0.4044,0
0.7367,1
0.6405,1
0.6504,1
0.6918,1
0.5218,0
0.6987,1
0.7529,1
0.4219,0
0.6887,1
0.6454,1
0.6782,1
0.7383,1
0.7343,1
0.3815,0
0.4025,0
0.6765,1
0.6881,1
0.7416,1
0.7068,1
0.738,1
0.6643,1
0.4364,0
0.7068,1
0.7148,1
0.7242,1
0.7539,1
0.7136,1
0.7275,1
0.6884,1
0.6885,1
0.7165,1
0.7164,1
0.714,1
0.7369,1
0.7149,1
0.4138,0
0.6707,1
0.7262,1
0.6631,1
0.7639,1
0.6469,1
0.6839,1
0.716,1
0.6855,1
0.7133,1
0.4561,0
0.376,0
0.6104,1
0.5441,0
0.6902,1
0.6862,1
0.3736,0
0.4096,0
0.6823,1
0.7232,1
0.7482,1
0.7324,1
0.6526,1
0.7182,1
0.7395,1
0.6842,1
0.7416,1
0.6643,1
0.4044,0
0.628,1
0.4241,0
0.6742,1
0.4266,0
0.7703,1
0.7256,1
0.7451,1
0.6931,1
0.7097,1
0.4168,0
0.6514,1
0.7013,1
0.737,1
0.4158,0
0.73,1
0.7403,1
0.6379,1
0.6605,1
0.7138,1
0.7226,1
0.7538,1
0.6378,1
0.7205,1
0.7347,1
0.7548,1
0.7424,1
0.7476,1
0.6815,1
0.7359,1
0.6505,1
0.6632,1
0.7258,1
0.6897,1
0.6875,1
0.5443,0
0.6485,1
0.6774,1
0.4145,0
0.6617,1
0.7331,1
0.642,1
0.5958,1
0.7065,1
0.3908,0
0.7413,1
0.7585,1
0.6728,1
0.7409,1
0.707,1
0.6365,1
0.4165,0
0.7634,1
0.6761,1
0.7199,1
0.3694,0
0.7147,1
0.7377,1
0.418,0
0.6933,1
0.7066,1
0.7146,1
0.7082,1
0.402,0
0.6015,1
0.6965,1
0.6901,1
0.7325,1
0.7008,1
0.7499,1
0.6969,1
0.7448,1
0.6694,1
0.4098,0
0.7656,1
0.6193,1
0.661,1
0.681,1
0.7053,1
0.4913,0
0.6599,1
0.6281,1
0.4935,0
0.7401,1
0.6539,1
0.4292,0
0.6734,1
0.7675,1
0.6075,1
0.7336,1
0.6721,1
0.6998,1
0.7038,1
0.7337,1
0.677,1
0.7087,1
0.7132,1
0.4006,0
0.7567,1
0.6808,1
0.4388,0
0.5105,0
0.6896,1
0.6965,1
0.6305,1
0.4022,0
0.7069,1
0.653,1
0.7066,1
0.6874,1
0.721,1
0.6709,1
0.6848,1
0.6915,1
0.7004,1
0.6889,1
0.6971,1
0.6912,1
0.6978,1
0.7049,1
0.718,1
0.7284,1
0.7359,1
0.6904,1
0.7012,1
0.7006,1
0.4369,0
0.3938,0
0.7286,1
0.712,1
0.7397,1
0.7121,1
0.6647,1
0.6743,1
0.6367,1
0.422,0
0.4177,0
0.4138,0
0.6986,1
0.6792,1
0.7007,1
0.6516,1
0.7311,1
0.7203,1
0.7182,1
0.7163,1
0.7465,1
0.7232,1
0.7557,1
0.7457,1
0.7754,1
0.7639,1
0.7432,1
0.7058,1
0.7163,1
0.7333,1
0.6881,1
0.7579,1
0.7585,1
0.7077,1
0.7509,1
0.7757,1
0.4835,0
0.6801,1
0.6973,1
0.7159,1
0.7559,1
0.7628,1
0.7331,1
0.7501,1
0.7548,1
0.733,1
0.73,1
0.7331,1
0.7875,1
0.7479,1
0.4181,0
0.3873,0
0.6912,1
0.6974,1
0.3781,0
0.4898,0
0.7548,1
0.7324,1
0.3618,0
0.7416,1
0.761,1
0.6576,1
0.7583,1
0.7935,1
0.7451,1
0.7355,1
0.7181,1
0.7521,1
0.7564,1
