score,class
0.4451,0
0.9426,1
0.9951,1
0.9947,1
0.9973,1
0.5246,1
0.9963,1
0.9573,1
0.5538,1
0.3153,0
0.4304,1
0.9711,1
0.9953,1
0.9992,1
0.9841,1
0.96,1
0.4356,0
0.9633,1
0.9947,1
0.3274,0
0.4673,1
0.994,1
0.9981,1
0.9885,1
0.3392,0
0.9982,1
0.9981,1
0.9759,1
0.4897,0
0.4712,0
0.4461,0
0.9948,1
0.3659,0
0.5322,1
0.9817,1
0.6925,1
0.9549,1
0.6416,1
0.2937,0
0.5317,0
0.9789,1
0.9907,1
0.9971,1
0.7269,1
0.9975,1
0.9817,1
0.7175,1
0.9992,1
0.9978,1
0.9969,1
0.3935,0
0.9982,1
0.9968,1
0.9957,1
0.9939,1
0.9986,1
0.9962,1
0.9851,1
0.314,0
0.9942,1
0.9718,1
0.9911,1
0.3887,0
0.556,1
0.9978,1
0.7622,1
0.9303,1
0.7727,1
0.322,0
0.2737,0
0.988,1
0.4941,0
0.6173,1
0.9964,1
0.5516,1
0.9912,1
0.9943,1
0.647,1
0.9986,1
0.98,1
0.9992,1
0.9525,1
0.9944,1
0.4282,0
0.9943,1
0.911,1
0.999,1
0.4238,0
0.9765,1
0.516,0
0.5081,0
0.9331,1
0.9965,1
0.9912,1
0.6254,1
0.594,1
0.8404,1
0.7092,1
0.9902,1
0.9966,1
0.5476,1
0.9789,1
0.9685,1
0.9838,1
0.9884,1
0.2999,0
0.9656,1
0.9986,1
0.5575,0
0.4034,0
0.9894,1
0.9965,1
0.322,0
0.9952,1
0.9974,1
0.9954,1
0.3499,0
0.9886,1
0.9952,1
0.7417,1
0.3971,0
0.5606,1
0.9958,1
0.9708,1
0.4125,0
0.9683,1
0.8846,1
0.9957,1
0.4048,0
0.4434,0
0.9948,1
0.6443,1
0.9935,1
0.9812,1
0.8565,1
0.9991,1
0.711,1
0.9887,1
0.9959,1
0.3256,0
0.9553,1
0.9905,1
0.7739,1
0.9765,1
0.5312,0
0.9965,1
0.9946,1
0.5953,1
0.9881,1
0.932,1
0.9873,1
0.9464,1
0.4808,0
0.9801,1
0.995,1
0.9972,1
0.9975,1
0.9892,1
0.7429,0
0.752,0
0.9859,1
0.9981,1
0.9567,1
0.9812,1
0.9984,1
0.3384,0
0.8809,1
0.9452,1
0.9966,1
0.9377,1
0.9863,1
0.9917,1
0.9828,1
0.4765,0
0.9928,1
0.4622,0
0.969,1
0.9701,1
0.9603,1
0.9976,1
0.9797,1
0.996,1
0.9963,1
0.7244,1
0.4238,0
0.901,0
0.435,0
0.2836,0
0.8843,1
0.9956,1
0.9984,1
0.765,1
0.5616,1
0.9778,1
0.9769,1
0.999,1
0.7906,1
0.3483,0
0.9975,1
0.9853,1
0.99,1
0.6817,1
0.9886,1
0.3604,0
0.544,0
0.9833,1
0.9857,1
0.9713,1
0.9932,1
0.4768,1
0.9971,1
0.9777,1
0.9928,1
0.4657,0
0.9964,1
0.369,0
0.3665,0
0.996,1
0.9878,1
0.9975,1
0.9936,1
0.998,1
0.9957,1
0.8426,1
0.4566,0
0.9945,1
0.9951,1
